date,open,high,low,close,volume,average,barCount
2023-09-08,147.3125,147.8715,146.5875,147.838,-1.0,-1.0,-1
2023-09-11,146.945,147.28,145.904,146.576,-1.0,-1.0,-1
2023-09-12,146.56,147.237,146.4375,147.08,-1.0,-1.0,-1
2023-09-13,147.0805,147.7515,147.0195,147.459,-1.0,-1.0,-1
2023-09-14,147.3925,147.57,147.0185,147.471,-1.0,-1.0,-1
2023-09-15,147.4745,147.9525,147.339,147.8445,-1.0,-1.0,-1
2023-09-18,147.725,147.882,147.559,147.605,-1.0,-1.0,-1
2023-09-19,147.605,147.9235,147.5055,147.8545,-1.0,-1.0,-1
2023-09-20,147.835,148.362,147.475,148.3445,-1.0,-1.0,-1
2023-09-21,148.275,148.4625,147.321,147.588,-1.0,-1.0,-1
2023-09-22,147.57,148.421,147.507,148.3815,-1.0,-1.0,-1
2023-09-25,148.285,148.9655,148.251,148.8865,-1.0,-1.0,-1
2023-09-26,148.8455,149.187,148.705,149.06,-1.0,-1.0,-1
2023-09-27,149.05,149.71,148.863,149.628,-1.0,-1.0,-1
2023-09-28,149.55,149.578,149.1465,149.3085,-1.0,-1.0,-1
2023-09-29,149.305,149.5035,148.526,149.3685,-1.0,-1.0,-1
2023-10-02,149.5155,149.8795,149.43,149.8545,-1.0,-1.0,-1
2023-10-03,149.788,150.162,147.293,149.0105,-1.0,-1.0,-1
2023-10-04,149.0195,149.32,148.736,149.125,-1.0,-1.0,-1
2023-10-05,149.053,149.1185,148.2595,148.5155,-1.0,-1.0,-1
2023-10-06,148.47,149.538,148.361,149.287,-1.0,-1.0,-1
2023-10-09,149.11,149.2425,148.4355,148.5055,-1.0,-1.0,-1
2023-10-10,148.4875,149.099,148.1625,148.7125,-1.0,-1.0,-1
2023-10-11,148.7025,149.3265,148.424,149.1655,-1.0,-1.0,-1
2023-10-12,149.0975,149.83,148.955,149.806,-1.0,-1.0,-1
2023-10-13,149.817,149.831,149.4525,149.578,-1.0,-1.0,-1
2023-10-16,149.515,149.765,149.375,149.5095,-1.0,-1.0,-1
2023-10-17,149.5305,149.852,148.741,149.8155,-1.0,-1.0,-1
2023-10-18,149.835,149.9395,149.484,149.927,-1.0,-1.0,-1
2023-10-19,149.8725,149.963,149.667,149.7905,-1.0,-1.0,-1
2023-10-20,149.7725,149.9935,149.633,149.853,-1.0,-1.0,-1
2023-10-23,149.87,149.9925,149.556,149.708,-1.0,-1.0,-1
2023-10-24,149.6755,149.936,149.323,149.913,-1.0,-1.0,-1
2023-10-25,149.86,150.318,149.7965,150.2205,-1.0,-1.0,-1
2023-10-26,150.0975,150.778,149.846,150.3965,-1.0,-1.0,-1
2023-10-27,150.395,150.415,149.4605,149.597,-1.0,-1.0,-1
2023-10-30,149.535,149.8565,148.805,149.099,-1.0,-1.0,-1
2023-10-31,149.0675,151.7305,149.028,151.67,-1.0,-1.0,-1
2023-11-01,151.603,151.6645,150.6625,150.954,-1.0,-1.0,-1
2023-11-02,150.9205,150.9395,149.8435,150.4465,-1.0,-1.0,-1
2023-11-03,150.4755,150.5215,149.1955,149.4035,-1.0,-1.0,-1
2023-11-06,149.36,150.083,149.3545,150.0735,-1.0,-1.0,-1
2023-11-07,150.0455,150.693,149.933,150.365,-1.0,-1.0,-1
2023-11-08,150.357,151.059,150.3455,150.9735,-1.0,-1.0,-1
2023-11-09,150.9,151.389,150.7705,151.352,-1.0,-1.0,-1
2023-11-10,151.323,151.604,151.222,151.507,-1.0,-1.0,-1
2023-11-13,151.471,151.9095,151.2035,151.7225,-1.0,-1.0,-1
2023-11-14,151.685,151.809,150.1545,150.3755,-1.0,-1.0,-1
2023-11-15,150.335,151.4235,150.044,151.35,-1.0,-1.0,-1
2023-11-16,151.31,151.431,150.2865,150.724,-1.0,-1.0,-1
2023-11-17,150.6425,150.776,149.199,149.591,-1.0,-1.0,-1
2023-11-20,149.6375,149.991,148.1035,148.398,-1.0,-1.0,-1
2023-11-21,148.3725,148.597,147.153,148.391,-1.0,-1.0,-1
2023-11-22,148.3405,149.753,148.0195,149.538,-1.0,-1.0,-1
2023-11-23,149.5495,149.693,148.889,149.56,-1.0,-1.0,-1
2023-11-24,149.5825,149.714,149.199,149.4575,-1.0,-1.0,-1
2023-11-27,149.538,149.676,148.545,148.6885,-1.0,-1.0,-1
2023-11-28,148.6125,148.8315,147.3235,147.4805,-1.0,-1.0,-1
2023-11-29,147.4805,147.9115,146.6715,147.246,-1.0,-1.0,-1
2023-11-30,147.1725,148.5185,146.845,148.197,-1.0,-1.0,-1
2023-12-01,148.1705,148.349,146.6615,146.931,-1.0,-1.0,-1
2023-12-04,146.7525,147.4525,146.229,147.208,-1.0,-1.0,-1
2023-12-05,147.1875,147.391,146.559,147.153,-1.0,-1.0,-1
2023-12-06,147.145,147.5,146.896,147.311,-1.0,-1.0,-1
2023-12-07,147.227,147.3005,141.6105,144.122,-1.0,-1.0,-1
2023-12-08,144.169,145.2145,142.5,144.788,-1.0,-1.0,-1
2023-12-11,145.053,146.5915,144.814,146.1505,-1.0,-1.0,-1
2023-12-12,146.1475,146.1875,144.7305,145.4495,-1.0,-1.0,-1
2023-12-13,145.4725,145.9965,142.6345,142.888,-1.0,-1.0,-1
2023-12-14,142.8595,142.919,140.9525,141.891,-1.0,-1.0,-1
2023-12-15,141.915,142.468,141.429,142.0525,-1.0,-1.0,-1
2023-12-18,142.102,143.1595,142.0725,142.766,-1.0,-1.0,-1
2023-12-19,142.807,144.9555,142.248,143.8355,-1.0,-1.0,-1
2023-12-20,143.825,144.1015,143.263,143.571,-1.0,-1.0,-1
2023-12-21,143.4625,143.571,142.0455,142.1205,-1.0,-1.0,-1
2023-12-22,142.275,142.663,141.864,142.474,-1.0,-1.0,-1
2023-12-26,142.244,142.635,142.095,142.401,-1.0,-1.0,-1
2023-12-27,142.4145,142.85,141.552,141.8275,-1.0,-1.0,-1
2023-12-28,141.6875,141.696,140.2545,141.4185,-1.0,-1.0,-1
2023-12-29,141.44,141.916,140.7955,140.981,-1.0,-1.0,-1
2024-01-02,141.1155,142.216,141.098,141.991,-1.0,-1.0,-1
2024-01-03,141.956,143.7325,141.858,143.2955,-1.0,-1.0,-1
2024-01-04,143.242,144.852,142.8545,144.6295,-1.0,-1.0,-1
2024-01-05,144.583,145.9795,143.808,144.6055,-1.0,-1.0,-1
2024-01-08,144.606,144.923,143.6635,144.234,-1.0,-1.0,-1
2024-01-09,144.225,144.626,143.4215,144.4755,-1.0,-1.0,-1
2024-01-10,144.477,145.835,144.319,145.7595,-1.0,-1.0,-1
2024-01-11,145.675,146.417,145.0115,145.282,-1.0,-1.0,-1
2024-01-12,145.306,145.57,144.352,144.814,-1.0,-1.0,-1
2024-01-15,144.9425,145.944,144.874,145.7255,-1.0,-1.0,-1
2024-01-16,145.74,147.314,145.5865,147.184,-1.0,-1.0,-1
2024-01-17,147.193,148.528,147.067,148.154,-1.0,-1.0,-1
2024-01-18,148.115,148.305,147.6575,148.1565,-1.0,-1.0,-1
2024-01-19,148.1405,148.805,147.84,148.121,-1.0,-1.0,-1
2024-01-22,148.22,148.306,147.616,148.0995,-1.0,-1.0,-1
2024-01-23,147.9845,148.697,146.9785,148.3425,-1.0,-1.0,-1
2024-01-24,148.3425,148.3975,146.649,147.5115,-1.0,-1.0,-1
2024-01-25,147.487,147.952,147.083,147.661,-1.0,-1.0,-1
2024-01-26,147.65,148.211,147.4065,148.177,-1.0,-1.0,-1
2024-01-29,148.1025,148.337,147.2525,147.503,-1.0,-1.0,-1
2024-01-30,147.475,147.93,147.1,147.603,-1.0,-1.0,-1
2024-01-31,147.575,147.9005,146.013,146.9025,-1.0,-1.0,-1
2024-02-01,146.913,147.1165,145.8965,146.4425,-1.0,-1.0,-1
2024-02-02,146.443,148.587,146.242,148.3635,-1.0,-1.0,-1
2024-02-05,148.4275,148.8945,148.268,148.6795,-1.0,-1.0,-1
2024-02-06,148.665,148.7885,147.8195,147.9475,-1.0,-1.0,-1
2024-02-07,147.928,148.262,147.626,148.1835,-1.0,-1.0,-1
2024-02-08,148.12,149.4805,147.934,149.318,-1.0,-1.0,-1
2024-02-09,149.3075,149.5775,149.008,149.3125,-1.0,-1.0,-1
2024-02-12,149.2865,149.481,148.928,149.35,-1.0,-1.0,-1
2024-02-13,149.3325,150.884,149.209,150.8095,-1.0,-1.0,-1
2024-02-14,150.7625,150.7835,150.345,150.572,-1.0,-1.0,-1
2024-02-15,150.54,150.569,149.527,149.9205,-1.0,-1.0,-1
2024-02-16,149.9245,150.6475,149.827,150.201,-1.0,-1.0,-1
2024-02-19,150.192,150.206,149.875,150.1135,-1.0,-1.0,-1
2024-02-20,150.1535,150.4405,149.6845,150.007,-1.0,-1.0,-1
2024-02-21,149.967,150.395,149.853,150.3045,-1.0,-1.0,-1
2024-02-22,150.29,150.691,150.0175,150.5285,-1.0,-1.0,-1
